JobTitle,Company,Location,Summary,Salary
Business Analyst (Salesforce Consultant),GLOBALFOUNDRIES,"Bengaluru, Karnataka",Able to interact with business stakeholders and help translate business requirements into technical and design solution. Job Description for SFDC Consultant.,
Salesforce Support Analyst,Adobe,"Noida, Uttar Pradesh",You will be working on project implementation; enhancements and business process queries on Salesforce.com and other associated apps. What you need to succeed:,
Salesforce Developer,Infotribo Technologies Pvt Ltd,"Bengaluru, Karnataka","Know how to quantify and visualize business data. Interact directly with our customers and the Summit Technologies team, including consultants, project managers…","₹6,11,095 - ₹11,60,835 a year"
Business Analyst – Salesforce,skilora,Remote,Document business process/data flows. Experience: 3 - 5 years in Sales Force Business analyst( Required ). Work within a large agile team and business product…,
Salesforce Business Analyst,Prodapt SA,"Bengaluru, Karnataka",Experience collaborating with business stakeholders. Collaborate with developers to test and verify that solutions will meet the business requirements.,
Salesforce Client Success Platform Data Analyst,Jacobs,"Gurgaon, Haryana",Serve as a primary CSP data analyst for the Line of Business [LOB]. Our People & Places Solutions business – reinforces our drive to improve the lives of people…,
Sales Operations Analyst,Red Hat Software,"Pune, Maharashtra",Create and maintain reports and dashboards to showcase key business metrics. Ensure opportunity data management and validation inline with different routes to…,
Senior Analyst - Salesforce,WNS India,"Bengaluru, Karnataka","We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative…",
Senior Analyst - Salesforce,WNS India,"Bengaluru, Karnataka","We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative…",
"""Apttus CPQ Business Analyst""",Globex Digital Solutions,"Bengaluru, Karnataka","Should have good communication skills and be able to run workshops with business teams independently. Should be familiar with requirement gathering, gap…",
Business Analyst,Red Hat Software,"Pune, Maharashtra","In this role, you will focus on financial planning and analysis activities, providing business insights through data and business intelligence.",
Business Systems Analyst,Akamai,"Bengaluru, Karnataka","Have experience writing business and functional requirements. You will take ownership to understand business goals, work with stakeholders on business…",
Sr. Analyst - Salesforce Developer & CPQ Specialist,Ciena,"Gurgaon, Haryana","Ciena makes your social / entertainment / business existence REAL. With Ciena’s highly innovative, forward-thinking business practices, we reward people for…",
Salesforce CRM BA,Michelin,"Pune, Maharashtra","Helping the client/business partner in expressing its needs, understanding (through involvement in business activities) and challenging business requirements.",
Assoc Business Ops Analyst,NortonLifeLock,"Chennai, Tamil Nadu","All employment decisions are based on merit, experience, and business needs, without regard to race, color, national origin, age, religion, sex, pregnancy …",
