JobTitle,Company,Location,Summary,Salary
Manager-Marketing Operations,Accenture,"Mumbai, Maharashtra","Skill required: Campaign Management - Program and Project Management. Years of Experience: 13-18 years. In today's business environment, growth isn't just about…",
Customer Success Manager - India,Checkmarx,"Mumbai, Maharashtra",Our Customer Success Managers (CSM) are critical to our relationships with our customers. They are responsible to ensure that our customers successfully on…,
Salesforce Solution Arch E2E Design,Barclays,"Pune, Maharashtra","Support delivery managers in estimation and planning. Acting as a Salesforce Solution Architect, you are responsible for providing salesforce solutions to…",
Salesforce BO/Hypercare,Apptad Technology Private Limited,"Pune, Maharashtra",Job Title -Salesforce BO/Hypercare. This requirement is for group PSA - Customer first project - Salesforce Project Coordinator. Responsible of Roll-Out Team.,
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle,"Pune, Maharashtra","Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations…",
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle Sokrati,"Pune, Maharashtra","Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations…",
Customer Success Manager/Director,Salesforce,"Mumbai, Maharashtra","They act as the coach of the customer relationship leveraging the full power of Salesforce by bringing in technical experts, success managers, executive…",
Technology Manager,Screen Magic Mobile Media Pvt. Ltd.,"Pune, Maharashtra","Below is description of Job Duties: -. As said earlier, we are a product centric company, it is divided in sub modules and sub projects.",
Global Head - IT Helpdesk Manager - MORE - India,OLIVER - SEAPAC,"Gurgaon, Haryana",Global Head of IT Helpdesk Support. Global Head of IT Services and Infrastructure. This person will be responsible for building and maintaining a team of 25+…,
Campaign Management | 1 to 3 Years | Mumbai,Capgemini,"Mumbai, Maharashtra","Ability to have participate and contribute on campaign planning, campaign management and operations. Develop and executes campaigns for account based marketing,…",
Salesforce Delivery Manager,Flexy Managers,"Pune, Maharashtra","Around 15 years’ experience with minimum 5+ in Salesforce technology. Strong knowledge of Sales, Service and Marketing Clouds and exposure to other.",
"Manager, IT Engineering",MINDBODY,"Pune, Maharashtra","MINDBODY’s Corporate Information Technology organization is seeking an experienced Manager, IT to establish and head up its Pune, India location.",
Customer Support Executive/Manager,Astegic,"Pashan, Pune, Maharashtra",The right candidate will work with our customers ensuring adoption and usage through technical support. You should be an excellent communicator that relishes…,
Regional Business Manager,Bayer,"Kolkata, West Bengal","To create, calibrate & execute the regional business strategy with operational efficiencies & ensure people development. Returns as percentage of sales.",
Customer Success Manager,Axelerant,Remote,"A Customer Success Manager at Axelerant guides customers after the initial sales process into the delivery, support, and maintenance phases of software…",
Manager – Customer Success,BrowserStack,"Mumbai, Maharashtra","What do Microsoft, The Gap, Royal Bank of Scotland, Lockheed Martin, and top Open Source projects like JQuery have in common?",
DEPUTY MANAGER TELEBINDING - DIGITAL LOUNGE,Bajaj Finserv,"Pune, Maharashtra",Please find below Job Description for Deputy Manager Telebinding - Digital Lounge. Responsible for sales activities through call centre and online(B2C) for PL &…,
"Manager, CCL - Value to Market Urban",The Coca-Cola Company,"Gurgaon, Haryana","Manager, CCL - Value to Market Urban. Facilitate designing and implementation of the right VTM structure for medium & long term for the 13 Franchise bottlers in…",
Global Content Manager,ABB,"Bengaluru, Karnataka","Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable…",
AMS - Salesforce operation Manager - Manager - Bangalore,PwC,"Bengaluru, Karnataka",A career in our Advisory Acceleration Centre is the natural extension of PwC’s leading class global delivery capabilities. Work Location – PwC AC Bangalore.,
 Presales Manager- Salesforce,Icon Resources & Technologies,India,The ability to confidently present and articulate the business value of the Salesforce cloud-based application suite and platform to managers and executives of…,
Program Manager MA,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",Preferably familiar with the salesforce ecosystem. Person will be responsible for the end - to - end Implementation. Solution architecture for the client –.,
Project Manager – Salesforce,ANI Calls India Private Limited,"Bengaluru, Karnataka","8+ years of combined IT experience with increasing levels of responsibility. 4+ years of architecture experience across various Salesforce clouds (Sales,…","₹12,00,000 - ₹20,00,000 a year"
Salesforce APEX Developer,Ringlead,"Pune, Maharashtra","This will involve meeting with project managers, analyzing project objectives, coding new Salesforce applications, creating customer workflows, maintaining user…",
Salesforce Technology Manager,Mirketa,"Noida, Uttar Pradesh",Conflict Management: Help individuals and managers to resolve conflicts. Review productivity issues and ideas with the team and fellow managers.,
Salesforce Developer,221 B Baker ST,"Salt Lake City, West Bengal","\* Interact directly with clients, managers, and end-users as necessary to analyze project objectives and capability requirements, including specifications for…","₹40,000 - ₹80,000 a month"
AVP/ Sr. Manager - Sales Operations,Pacific Global Solutions Limited,"Ahmedabad, Gujarat","Proactively develop methods to optimize, scale, and improve business processes across Sales. Works closely with sales management to inspect sales process…","₹45,000 - ₹55,000 a month"
Product Manager- Salesforce Commerce,Carrier,"Hyderabad, Telangana","Date posted 01/11/2021. Building No: 12C, Floor 9,10,11, Building No: 12B -Stilt floor, Raheja Mindspace, Cyberabad, Madhapur, Hyderabad - 500081, Telangana,…",
Customer Success Associate/Manager,S&P Global,"Gurgaon, Haryana","Build and maintain strong relationships with clients at all levels, and become their partner – i.e. end-users, business heads, senior managers, etc.",
Customer Care Representative,Nielsen,"Mumbai, Maharashtra","As a Customer Care Representative at Nielsen, you’ll help create, build, and maintain relationships with clients. It’s a people person’s dream.",
SFDC Tester / Salesforce Tester -,Harjai Computers Private Limited,"Mumbai, Maharashtra",Own and/or monitor QA workstream for 1-6 Delivery/Client Services/Internal projects (with guidance from QA Lead or QA Manager).,
Manager - Business Analytics,Alamy,"Thiruvananthapuram, Kerala","Type of Contract Full Time Permanent. Hours 40 hours per week, Monday - Friday. Package Competitive; depends on experience and skill.",
Customer Success Manager,Druva,"Pune, Maharashtra","Druva is the global leader in Cloud Data Protection and Management, delivering the industry’s first data management-as-a-service solution that aggregates data…",
Junior Release Manager,Micro Focus,"Bengaluru, Karnataka","Micro Focus is one of the world’s largest enterprise software providers, delivering the mission-critical software that keeps the digital world running.",
Salesforce Technical Lead,Barclays,"Pune, Maharashtra","Job Title:Salesforce Technical Lead. Understanding SFMC Platform and its management , campaign management process, managing end to end email campaign build and…",
Salesforce Development,Extentia Information Technology,"Pune, Maharashtra","Ability to communicate and collaborate with stakeholders, project managers, and colleagues throughout all phases of analysis, development, testing, and…",
Application Project Manager,Brabers Consultancy,"Bengaluru, Karnataka",Able to manager a team in a highly complex organisation. Brabers Consultancy is supporting one of their major international consultancy partners with the…,"₹2,00,000 a month"
Key Account Manager,Yalochat Inc. External,"Mumbai, Maharashtra",We help companies build strong customer relationships through the world's most popular messaging apps. We're an energetic and positive group of people.,
